,,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Article title,Link to source
Basement,Ipswich,Suffolk,EG,2009,2012,52.0597,1.1481,Future of emo,https://en.wikipedia.org/wiki/Basement_(band)
The Front Bottoms,Woodcliff Lake,New Jersey,NJ,2006,2026,41.0253,-74.0604,Future of emo,https://en.wikipedia.org/wiki/The_Front_Bottoms
The Hotelier,Worcester,Massachusetts,MA,2009,2026,42.2705,-71.8079,Future of emo,https://en.wikipedia.org/wiki/The_Hotelier
Julien Baker,Murfreesboro,Tennessee,TN,2015,2026,35.849,-86.4121,Future of emo,https://en.wikipedia.org/wiki/Julien_Baker
Microwave,Atlanta,Georgia,GA,2012,2026,33.7628,-84.422,Future of emo,https://en.wikipedia.org/wiki/Microwave_(American_band)
Modern Chemistry,Asbury Park,New Jersey,NJ,2013,2026,40.2226,-74.0119,Future of emo,https://www.indiemusicdiscovery.com/interview-modern-chemistry/*https://modernchemistry.bandcamp.com/album/well-grow-out-of-this
Nothing*Nowhere,Burlington,Vermont,VT,2015,2026,44.4876,-73.2316,Future of emo,"https://en.wikipedia.org/wiki/Nothing,Nowhere"
Sleep On It,Chicago,Illinois,IL,2012,2020,41.8375,-87.6866,Future of emo,https://en.wikipedia.org/wiki/Sleep_On_It_(band)
Sorority Noise,Hartford,Connecticut,CT,2013,2018,41.7661,-72.6834,Future of emo,https://en.wikipedia.org/wiki/Sorority_Noise
Turnover,Virginia Beach,Virginia,VA,2009,2026,36.7335,-76.0435,A brief history,https://en.wikipedia.org/wiki/Turnover_(band)
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,A brief history,https://www.discogs.com/artist/312291-American-Football
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,A brief history,https://en.wikipedia.org/wiki/Braid_(band)
Brand New,Long Island,New York,NY,2000,2017,40.7128,-74.006,A brief history,https://en.wikipedia.org/wiki/Brand_New_(band)
Dashboard Confessional,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,A brief history,https://en.wikipedia.org/wiki/Dashboard_Confessional
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,A brief history,https://en.wikipedia.org/wiki/Cap%27n_Jazz
