,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Link to source
The Promise Ring,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,https://en.wikipedia.org/wiki/The_Promise_Ring
The Get Up Kids,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,https://en.wikipedia.org/wiki/The_Get_Up_Kids
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,https://en.wikipedia.org/wiki/Braid_(band)
Texas Is the Reason,New York City,New York,NY,1994,1998,40.7128,-74.006,https://www.discogs.com/artist/260010-Texas-Is-The-Reason
Mineral,Houston,Texas,TX,1994,1998,29.786,-95.3885,https://en.wikipedia.org/wiki/Mineral_(band) https://www.discogs.com/artist/573453-Mineral?srsltid=AfmBOoo6sXwvAiF8Y-F4TqwzNtWt2YJsDWt3iD_r8zVG6QIM0yfc-vQH
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,https://en.wikipedia.org/wiki/Cap%27n_Jazz
Christie Front Drive,Denver,Colorado,CO,1993,1997,39.762,-104.8758,https://en.wikipedia.org/wiki/Christie_Front_Drive
You Blew It!,Orlando,Florida,FL,2009,2017,28.4773,-81.337,https://en.wikipedia.org/wiki/You_Blew_It!
Sunny Day Real Estate,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,https://en.wikipedia.org/wiki/Sunny_Day_Real_Estate
Saves the Day,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,https://www.discogs.com/artist/377259-Saves-The-Day
Jawbreaker,East Bay,California,CA,1986,1996,37.8272,-122.2913,https://en.wikipedia.org/wiki/Jawbreaker_(band)
Thursday,New Brunswick,New Jersey,NJ,1997,2012,40.487,-74.445,https://en.wikipedia.org/wiki/Thursday_(band)
Hey Mercedes,Milwaukee,Wisconsin,WI,1999,2005,43.0642,-87.9675,https://en.wikipedia.org/wiki/Hey_Mercedes
The World Is A Beautiful Place and I Am No Longer Afraid to Die,Willimantic,Connecticut,CT,2009,2026,41.7171,-72.2114,https://en.wikipedia.org/wiki/The_World_Is_a_Beautiful_Place_%26_I_Am_No_Longer_Afraid_to_Die
Tigers Jaw,Scranton,Pennsylvania,PA,2005,2026,41.4044,-75.6649,https://en.wikipedia.org/wiki/Tigers_Jaw
Rainer Maria,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,https://www.discogs.com/artist/533479-Rainer-Maria
Jets To Brazil,Brooklyn,New York,NY,1997,2003,40.6501,-73.9496,https://en.wikipedia.org/wiki/Jets_to_Brazil
Piebald,Andover,Massachusetts,MA,1994,2008,42.6627,-71.1447,https://www.discogs.com/artist/355454-Piebald
The Hotelier,Worcester,Massachusetts,MA,2009,2026,42.2705,-71.8079,https://en.wikipedia.org/wiki/The_Hotelier
The Jazz June,Kutztown,Pennsylvania,PA,1996,2003,40.5212,-75.7772,https://en.wikipedia.org/wiki/The_Jazz_June
Rites of Spring,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,https://en.wikipedia.org/wiki/Rites_of_Spring
Knapsack,Davis,California,CA,1993,2000,38.5553,-121.737,https://www.discogs.com/artist/541739-Knapsack
Into It. Over It.,Chicago,Illinois,IL,2007,2026,41.8375,-87.6866,https://en.wikipedia.org/wiki/Into_It._Over_It.
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,https://www.discogs.com/artist/312291-American-Football
Dads,Piscataway,New Jersey,NJ,2010,2015,40.55,-74.4758,https://en.wikipedia.org/wiki/Dads_(band)
Joan of Arc,Chicago,Illinois,IL,1995,2020,41.8375,-87.6866,https://en.wikipedia.org/wiki/Joan_of_Arc_(band)
The Movielife,Long Island,New York,NY,1997,2003,40.7128,-74.006,https://en.wikipedia.org/wiki/The_Movielife
Tiny Moving Parts,Benson,Minnesota,MN,2008,2026,45.3152,-95.6058,https://en.wikipedia.org/wiki/Tiny_Moving_Parts
The Wonder Years,Landsdale,Pennsylvania,PA,2005,2026,40.2415,-75.2838,https://en.wikipedia.org/wiki/The_Wonder_Years_(band)
Joyce Manor,Torrance,California,CA,2008,2026,33.8346,-118.3416,https://en.wikipedia.org/wiki/Joyce_Manor
Marietta,Philadelphia,Pennsylvania,PA,2011,2015,40.0077,-75.1339,https://en.wikipedia.org/wiki/Marietta_(band)
Elliott,Louisville,Kentucky,KY,1995,2003,38.1663,-85.6485,https://en.wikipedia.org/wiki/Elliott_(band)
The Anniversary,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,https://en.wikipedia.org/wiki/The_Anniversary
Free Throw,Nashville,Tennessee,TN,2012,2026,36.1715,-86.7842,https://en.wikipedia.org/wiki/Free_Throw_(band)
The Appleseed Cast,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,https://en.wikipedia.org/wiki/The_Appleseed_Cast
Foxing,St. Louis,Missouri,MO,2011,2025,38.6359,-90.2451,https://www.discogs.com/artist/3189066-Foxing
