,,,,,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Year most pop. album,Album,First on cover,Related Bands,Link to source
The Promise Ring,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,1997,Nothing Feels Good,Y,Maritime* Vermont* Cap'n Jazz,https://www.discogs.com/artist/623225-The-Promise-Ring?srsltid=AfmBOoooQtJZVDbh24XWhCja74h74OimbnWg48E7QyWhYMzudfmOk8Hv
Texas Is the Reason,New York City,New York,NY,1994,1998,40.7128,-74.006,1996,Do You Know Who You Are?,Y,New End Original* Shelter,https://www.discogs.com/artist/260010-Texas-Is-The-Reason
Dashboard Confessional,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,2001,The Places You Have Come to Fear the Most,Y,Further Seems Forever* Twin Forks* Vacant Andys,https://www.discogs.com/artist/83188-Dashboard-Confessional
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,1995,"Burritos, ...",Y,American Football* Owls,https://www.discogs.com/artist/690592-Capn-Jazz
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,1999,American Football,N,Cap'n Jazz* Owls,https://www.discogs.com/artist/312291-American-Football
Owen,Chicago,Illinois,IL,2001,2026,41.8375,-87.6866,2002,Owen,N,,https://www.discogs.com/artist/647607-Owen-4
Owls,Chicago,Illinois,IL,2001,2002,41.8375,-87.6866,2001,Owls,N,,https://www.discogs.com/artist/301454-Owls
The Van Pelt,New York City,New York,NY,1993,1997,40.7128,-74.006,1997,Sultans of Sentiment,Y,The Lapse* Native Nod* Vague Angels* Jets to Brazil,https://www.discogs.com/artist/782965-The-Van-Pelt
Rainer Maria,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,1999,Look Now Look Again,Y,,https://www.discogs.com/artist/533479-Rainer-Maria
The Get Up Kids,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,1999,Something to Write Home About,Y,The New Amsterdams* The Terrible Twos* Radar State,https://www.discogs.com/artist/295303-The-Get-Up-Kids
Christie Front Drive,Denver,Colorado,CO,1993,1997,39.762,-104.8758,1996,Christie Front Drive,Y,Antarctica* The 101* Golden City* ,https://www.discogs.com/artist/316128-Christie-Front-Drive
Knapsack,Davis,California,CA,1993,2000,38.5553,-121.737,1998,This Conversation Is Ending Starting Right Now,Y,The Jealous Sound* Racquet Club* ,https://www.discogs.com/artist/541739-Knapsack
The Jealous Sound,Los Angeles,California,CA,2000,2017,34.1141,-118.4068,2003,Kill Them With Kindness,N,Knapsack* Racquet Club,https://www.discogs.com/artist/1398350-The-Jealous-Sound
Mineral ,Houston,Texas,TX,1994,1998,29.786,-95.3885,1996,The Power of Failing,Y,The Gloria Record* Zookeeper* Mountain Time,https://www.discogs.com/artist/573453-Mineral
Jimmy Eat World,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,1999,Clarity,Y,,https://www.discogs.com/artist/82079-Jimmy-Eat-World
Sense Field,Harbor City,California,CA,1990,2004,33.7899,-118.2975,1994,Sense Field,Y,Further Seems Forever* Lucky Scars* War Generation* Reason to Believe,https://www.discogs.com/artist/314910-Sense-Field
Saves the Day,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,1999,Through Being Cool,Y,,https://www.discogs.com/artist/377259-Saves-The-Day
Karate,Boston,Massachusetts,MA,1993,2005,42.3188,-71.0852,1995,Karate,Y,Exit Verse,https://www.discogs.com/artist/377259-Saves-The-Day
Cursive,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,2000,Domestica,Y,The Good Life,https://www.discogs.com/artist/254433-Cursive
Foxing,St. Louis,Missouri,MO,2011,2025,38.6359,-90.2451,2013,The Albatross,Y,Smidling,https://www.discogs.com/artist/3189066-Foxing
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,1998,Frame & Canvas,Y,Hey Mercedes,https://www.discogs.com/artist/280151-Braid
Piebald,Andover,Massachusetts,MA,1994,2008,42.6627,-71.1447,2002,We Are The Only Friends We Have,Y,,https://www.discogs.com/artist/355454-Piebald
