,,,,,,,,,,,
Entry number,Band,Name of album,Year released,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Link to source
40,The Used,In Love and Death,2004,Orem,Utah,UT,2000,2026,40.2981,-111.6994,https://en.wikipedia.org/wiki/The_Used
39,Panic! at the Disco,A Fever You Can't Sweat Out,2005,Las Vegas,Nevada,NV,2004,2023,36.2333,-115.2654,https://en.wikipedia.org/wiki/Panic!_at_the_Disco
38,Into It. Over It.,Intersections,2013,Chicago,Illinois,IL,2007,2026,41.8375,-87.6866,https://en.wikipedia.org/wiki/Into_It._Over_It.
37,Indian Summer,Science 1994,2002,Oakland,California,CA,1993,1994,37.7904,-122.2166,https://en.wikipedia.org/wiki/Indian_Summer_(American_band)
36,Orchid,Gatefold,1999,Amherst,Massachusetts,MA,1997,2002,42.3757,-72.5199,https://en.wikipedia.org/wiki/Orchid_(screamo_band)
35,Coheed and Cambria,Good Apollo* I’m Burning Star IV* Volume One: From Fear Through the Eyes of Madness,2005,Nyack,New York,NY,1995,2026,41.0919,-73.9143,https://en.wikipedia.org/wiki/Coheed_and_Cambria
34,Owls,Owls,2001,Chicago,Illinois,IL,2001,2002,41.8375,-87.6866,https://www.discogs.com/artist/301454-Owls
33,The Jazz June,The Medicine,2000,Kutztown,Pennsylvania,PA,1996,2003,40.5212,-75.7772,https://en.wikipedia.org/wiki/The_Jazz_June
32,Algernon Cadwallader,Some Kind Of Cadwallader,2008,Yardley,Pennsylvania,PA,2005,2012,40.2408,-74.8386,https://en.wikipedia.org/wiki/Algernon_Cadwallader
31,The Jealous Sound,Kill Them With Kindness,2003,Los Angeles,California,CA,2000,2017,34.1141,-118.4068,https://www.discogs.com/artist/1398350-The-Jealous-Sound
30,Moss Icon,Lyburnum Wits End Liberation Fly,1994,Annapolis,Maryland,MD,1986,1991,38.9706,-76.5047,https://en.wikipedia.org/wiki/Moss_Icon
29,Brand New,Your Favorite Weapon,2001,Long Island,New York,NY,2000,2017,40.7128,-74.006,https://en.wikipedia.org/wiki/Brand_New_(band)
28,Paramore,Riot!,2007,Franklin,Tennessee,TN,2004,2025,35.92,-86.8516,https://en.wikipedia.org/wiki/Paramore
27,Dashboard Confessional,The Places You Have Come to Fear the Most,2001,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,https://en.wikipedia.org/wiki/Dashboard_Confessional
26,Rainer Maria,Look Now Look Again,1999,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,https://www.discogs.com/artist/533479-Rainer-Maria
25,Cursive,Domestica,2000,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,https://www.discogs.com/artist/254433-Cursive
24,Embrace,Embrace,1987,Washington,District of Columbia,DC,1985,1986,38.9047,-77.0163,https://en.wikipedia.org/wiki/Embrace_(American_band)
23,Taking Back Sunday,Tell All Your Friends,2002,Amityville,New York,NY,1999,2026,40.6696,-73.4156,https://en.wikipedia.org/wiki/Taking_Back_Sunday
22,Say Anything,...Is a Real Boy,2004,Los Angeles,California,CA,2000,2018,34.1141,-118.4068,https://en.wikipedia.org/wiki/Say_Anything_(band)
21,The Get Up Kids,Four Minute Mile,1997,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,https://en.wikipedia.org/wiki/The_Get_Up_Kids
20,At the Drive-In,In/Casino/Out,1998,El Paso,Texas,TX,1994,2001,31.8476,-106.43,https://en.wikipedia.org/wiki/At_the_Drive-In
19,Brand New,Deja Entendu,2003,Long Island,New York,NY,2000,2017,40.7128,-74.006,https://en.wikipedia.org/wiki/Brand_New_(band)
18,Saves the Day,Through Being Cool,1999,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,https://www.discogs.com/artist/377259-Saves-The-Day
17,Mineral,The Power of Failing,1997,Houston,Texas,TX,1994,1998,29.786,-95.3885,https://en.wikipedia.org/wiki/Mineral_(band) https://www.discogs.com/artist/573453-Mineral?srsltid=AfmBOoo6sXwvAiF8Y-F4TqwzNtWt2YJsDWt3iD_r8zVG6QIM0yfc-vQH
16,Drive Like Jehu,Yank Crime,1994,San Diego,California,CA,1990,1995,32.8313,-117.1222,https://en.wikipedia.org/wiki/Drive_Like_Jehu
15,Dag Nasty,Can I Say,1986,Washington,District of Columbia,DC,1985,1988,38.9047,-77.0163,https://en.wikipedia.org/wiki/Dag_Nasty
14,Weezer,Pinkerton,1996,Los Angeles,California,CA,1992,1997,34.1141,-118.4068,https://en.wikipedia.org/wiki/Weezer
13,Jimmy Eat World,Clarity,1999,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,https://en.wikipedia.org/wiki/Jimmy_Eat_World_discography
12,Texas Is the Reason,Do You Know Who You Are?,1996,New York City,New York,NY,1994,1998,40.7128,-74.006,https://www.discogs.com/artist/260010-Texas-Is-The-Reason
11,Thursday,Full Collapse,2001,New Brunswick,New Jersey,NJ,1997,2012,40.487,-74.445,https://en.wikipedia.org/wiki/Thursday_(band)
10,My Chemical Romance,Three Cheers for Sweet Revenge,2004,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,https://en.wikipedia.org/wiki/My_Chemical_Romance
9,Fall Out Boy,From Under the Cork Tree,2005,Wilmette,Illinois,IL,2001,2009,42.0771,-87.7282,https://en.wikipedia.org/wiki/Fall_Out_Boy
8,Jimmy Eat World,Bleed American,2001,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,https://en.wikipedia.org/wiki/Jimmy_Eat_World_discography
7,Cap'n Jazz,Burritos* Inspiration Point* Fork Balloon Sports …,1995,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,https://en.wikipedia.org/wiki/Cap%27n_Jazz
6,American Football,American Football,1999,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,https://www.discogs.com/artist/312291-American-Football
5,Braid,Frame and Canvas,1998,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,https://en.wikipedia.org/wiki/Braid_(band)
4,Jawbreaker,Dear You,1995,East Bay,California,CA,1986,1996,37.8272,-122.2913,https://en.wikipedia.org/wiki/Jawbreaker_(band)
3,The Promise Ring,Nothing Feels Good,1997,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,https://en.wikipedia.org/wiki/The_Promise_Ring
2,Rites of Spring,Rites of Spring,1985,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,https://en.wikipedia.org/wiki/Rites_of_Spring
1,Sunny Day Real Estate,Diary,1994,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,https://en.wikipedia.org/wiki/Sunny_Day_Real_Estate
