,,,,,,,,,,,
Entry number,Band,Name of single,Year single released,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Link to source
100,Forests,Tamago,2016,Singapore,Singapore,SG,2014,2026,1.3521,103.8198,https://grandmasophiascookies.com/2022/04/29/in-conversation-forests-talk-making-vultures-top-100-emo-songs-list-and-putting-together-their-kick-ass-new-album/
99,Jejune,This Afternoon’s Malady,1998,Boston,Massachusetts,MA,1996,2000,42.3188,-71.0852,https://en.wikipedia.org/wiki/Jejune
98,The Van Pelt,Nanzen Kills a Cat,1997,New York City,New York,NY,1993,1997,40.7128,-74.006,https://www.discogs.com/artist/782965-The-Van-Pelt
97,Copeland,When Paula Sparks,2003,Lakeland,Florida,FL,2001,2010,28.0557,-81.9545,https://en.wikipedia.org/wiki/Copeland_(band)
96,Panic! at the Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,2005,Las Vegas,Nevada,NV,2004,2023,36.2333,-115.2654,https://en.wikipedia.org/wiki/Panic!_at_the_Disco
95,Dads,Shit Twins,2012,Piscataway,New Jersey,NJ,2010,2015,40.55,-74.4758,https://en.wikipedia.org/wiki/Dads_(band)
94,Evergreen,A Couple Curled Up Pictures,1994,Los Angeles,California,CA,1993,1997,34.1141,-118.4068,https://en.wikipedia.org/wiki/Evergreen_(American_band)
93,Origami Angel,Doctor Whomst,2019,Washington,District of Columbia,DC,2016,2026,38.9047,-77.0163,https://en.wikipedia.org/wiki/Origami_Angel
92,Crash of Rhinos,Opener,2013,Derby,England,UK,2009,2014,52.9225,-1.4746,https://en.wikipedia.org/wiki/Crash_of_Rhinos
91,Ethel Meserve,Waltz of Gibraltar,1995,State College,Pennsylvania,PA,1994,1998,40.7909,-77.8567,https://sophiesfloorboard.blogspot.com/2019/05/ethel-meserve.html
90,Los Campesinos!,The Sea Is a Good Place to Think of the Future,2010,Cardiff,Wales,UK,2006,2026,51.4837,-3.1681,https://en.wikipedia.org/wiki/Los_Campesinos!
89,The Used,The Taste of Ink,2002,Orem,Utah,UT,2000,2026,40.2981,-111.6994,https://en.wikipedia.org/wiki/The_Used
88,Shotmaker,Sky,1996,Belleville,Ontario,ON,1993,1996,44.164,-77.3825,https://en.wikipedia.org/wiki/Shotmaker_(band)
87,Empire! Empire! (I Was a Lonely Estate),Keep What You Have Built Up Here,2009,Fenton,Michigan,MI,2006,2016,42.7994,-83.7144,https://en.wikipedia.org/wiki/Empire!_Empire!_(I_Was_a_Lonely_Estate)
86,Hoover,Electrolux,1994,Washington,District of Columbia,DC,1992,1994,38.9047,-77.0163,https://en.wikipedia.org/wiki/Hoover_(band)
85,Coheed and Cambria,A Favor House Atlantic,2003,Nyack,New York,NY,1995,2026,41.0919,-73.9143,https://en.wikipedia.org/wiki/Coheed_and_Cambria
