,,,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Dataset name,City:State_id,In x sources
The Promise Ring,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,Anthology,Milwaukee:WI,5
Texas Is the Reason,New York City,New York,NY,1994,1998,40.7128,-74.006,Anthology,New York City:NY,4
Dashboard Confessional,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,Anthology,Boca Raton:FL,5
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,Anthology,Buffalo Grove:IL,5
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,Anthology,Champaign-Urbana:IL,5
Owen,Chicago,Illinois,IL,2001,2026,41.8375,-87.6866,Anthology,Chicago:IL,2
Owls,Chicago,Illinois,IL,2001,2002,41.8375,-87.6866,Anthology,Chicago:IL,3
The Van Pelt,New York City,New York,NY,1993,1997,40.7128,-74.006,Anthology,New York City:NY,3
Rainer Maria,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,Anthology,Madison:WI,4
The Get Up Kids,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,Anthology,Kansas City:MO,5
Christie Front Drive,Denver,Colorado,CO,1993,1997,39.762,-104.8758,Anthology,Denver:CO,3
Knapsack,Davis,California,CA,1993,2000,38.5553,-121.737,Anthology,Davis:CA,4
The Jealous Sound,Los Angeles,California,CA,2000,2017,34.1141,-118.4068,Anthology,Los Angeles:CA,4
Mineral,Houston,Texas,TX,1994,1998,29.786,-95.3885,Anthology,Houston:TX,5
Jimmy Eat World,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,Anthology,Mesa:AZ,5
Sense Field,Harbor City,California,CA,1990,2004,33.7899,-118.2975,Anthology,Harbor City:CA,2
Saves the Day,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,Anthology,Princeton:NJ,5
Karate,Boston,Massachusetts,MA,1993,2005,42.3188,-71.0852,Anthology,Boston:MA,1
Cursive,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,Anthology,Omaha:NE,4
Foxing,St. Louis,Missouri,MO,2011,2025,38.6359,-90.2451,Anthology,St. Louis:MO,3
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,Anthology,Champaign:IL,5
Piebald,Andover,Massachusetts,MA,1994,2008,42.6627,-71.1447,Anthology,Andover:MA,3
Forests,Singapore,Singapore,SG,2014,2026,1.3521,103.8198,Vulture,Singapore:SG,2
Jejune,Boston,Massachusetts,MA,1996,2000,42.3188,-71.0852,Vulture,Boston:MA,2
The Van Pelt,New York City,New York,NY,1993,1997,40.7128,-74.006,Vulture,New York City:NY,3
Copeland,Lakeland,Florida,FL,2001,2010,28.0557,-81.9545,Vulture,Lakeland:FL,1
Panic! at the Disco,Las Vegas,Nevada,NV,2004,2023,36.2333,-115.2654,Vulture,Las Vegas:NV,3
Dads,Piscataway,New Jersey,NJ,2010,2015,40.55,-74.4758,Vulture,Piscataway:NJ,2
Evergreen,Los Angeles,California,CA,1993,1997,34.1141,-118.4068,Vulture,Los Angeles:CA,1
Origami Angel,Washington,District of Columbia,DC,2016,2026,38.9047,-77.0163,Vulture,Washington:DC,1
Crash of Rhinos,Derby,England,UK,2009,2014,52.9225,-1.4746,Vulture,Derby:UK,1
Ethel Meserve,State College,Pennsylvania,PA,1994,1998,40.7909,-77.8567,Vulture,State College:PA,2
Los Campesinos!,Cardiff,Wales,UK,2006,2026,51.4837,-3.1681,Vulture,Cardiff:UK,1
The Used,Orem,Utah,UT,2000,2026,40.2981,-111.6994,Vulture,Orem:UT,3
Shotmaker,Belleville,Ontario,ON,1993,1996,44.164,-77.3825,Vulture,Belleville:ON,1
Empire! Empire! (I Was a Lonely Estate),Fenton,Michigan,MI,2006,2016,42.7994,-83.7144,Vulture,Fenton:MI,1
Hoover,Washington,District of Columbia,DC,1992,1994,38.9047,-77.0163,Vulture,Washington:DC,1
Coheed and Cambria,Nyack,New York,NY,1995,2026,41.0919,-73.9143,Vulture,Nyack:NY,3
The Appleseed Cast,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,Vulture,Lawrence:KS,2
Swing Kids,San Diego,California,CA,1994,1997,32.8313,-117.1222,Vulture,San Diego:CA,3
Boys Life,Kansas City,Missouri,MO,1993,1997,39.1238,-94.5541,Vulture,Kansas City:MO,2
One Last Wish,Washington,District of Columbia,DC,1986,1987,38.9047,-77.0163,Vulture,Washington:DC,2
Castevet,New York City,New York,NY,2006,2014,40.7128,-74.006,Vulture,New York City:NY,1
Boilermaker,San Diego,California,CA,1992,2002,32.8313,-117.1222,Vulture,San Diego:CA,2
mewithoutYou,Philadelphia,Pennsylvania,PA,2001,2022,40.0077,-75.1339,Vulture,Philadelphia:PA,2
Heroin,San Diego,California,CA,1989,1993,32.8313,-117.1222,Vulture,San Diego:CA,1
Penfold,Livingston,New Jersey,NJ,1994,2003,40.7824,-74.3151,Vulture,Livingston:NJ,1
La Dispute,Grand Rapids,Michigan,MI,2004,2026,42.9619,-85.6562,Vulture,Grand Rapids:MI,3
Oso Oso,Long Beach,New York,NY,2014,2026,40.5887,-73.666,Vulture,Long Beach:NY,2
Pageninetynine,Sterling,Virginia,VA,1997,2003,39.0052,-77.405,Vulture,Sterling:VA,2
Modern Baseball,Philadelphia,Pennsylvania,PA,2011,2017,40.0077,-75.1339,Vulture,Philadelphia:PA,3
Saetia,New York City,New York,NY,1997,1999,40.7128,-74.006,Vulture,New York City:NY,2
Elliott,Louisville,Kentucky,KY,1995,2003,38.1663,-85.6485,Vulture,Louisville:KY,2
Foxing,St. Louis,Missouri,MO,2011,2025,38.6359,-90.2451,Vulture,St. Louis:MO,3
Gray Matter,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,Vulture,Washington:DC,1
Sarge,Champaign,Illinois,IL,1996,2000,40.1142,-88.2737,Vulture,Champaign:IL,1
Knapsack,Davis,California,CA,1993,2000,38.5553,-121.737,Vulture,Davis:CA,4
Fuel,Harrisburg,Pennsylvania,PA,1989,2026,40.2752,-76.8843,Vulture,Harrisburg:PA,1
Glocca Morra,Miami,Florida,FL,2007,2015,25.784,-80.2101,Vulture,Miami:FL,1
Tigers Jaw,Scranton,Pennsylvania,PA,2005,2026,41.4044,-75.6649,Vulture,Scranton:PA,3
Something Corporate,Laguna Niguel,California,CA,1998,2006,33.5275,-117.705,Vulture,Laguna Niguel:CA,1
Weezer,Los Angeles,California,CA,1992,1997,34.1141,-118.4068,Vulture,Los Angeles:CA,2
I Hate Myself,Gainesville,Florida,FL,1996,1997,29.6804,-82.3459,Vulture,Gainesville:FL,2
Say Anything,Los Angeles,California,CA,2000,2018,34.1141,-118.4068,Vulture,Los Angeles:CA,3
The Jazz June,Kutztown,Pennsylvania,PA,1996,2003,40.5212,-75.7772,Vulture,Kutztown:PA,3
Snowing,Lehigh Valley,Pennsylvania,PA,2008,2011,40.5834,-75.5044,Vulture,Lehigh Valley:PA,2
The Anniversary,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,Vulture,Lawrence:KS,3
Ignition,Washington,District of Columbia,DC,1986,1989,38.9047,-77.0163,Vulture,Washington:DC,1
The Jealous Sound,Los Angeles,California,CA,2000,2017,34.1141,-118.4068,Vulture,Los Angeles:CA,4
Rainer Maria,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,Vulture,Madison:WI,4
Lifetime,New Brunswick,New Jersey,NJ,1990,1997,40.487,-74.445,Vulture,New Brunswick:NJ,3
Moss Icon,Annapolis,Maryland,MD,1986,1991,38.9706,-76.5047,Vulture,Annapolis:MD,3
Bright Eyes,Omaha,Nebraska,NE,1995,2011,41.2627,-96.0529,Vulture,Omaha:NE,2
The World Is a Beautiful Place and I Am No Longer Afraid to Die,Willimantic,Connecticut,CT,2009,2026,41.7171,-72.2114,Vulture,Willimantic:CT,2
At the Drive-In,El Paso,Texas,TX,1994,2001,31.8476,-106.43,Vulture,El Paso:TX,4
Jets to Brazil,Brooklyn,New York,NY,1997,2003,40.6501,-73.9496,Vulture,Brooklyn:NY,2
Embrace,Washington,District of Columbia,DC,1985,1986,38.9047,-77.0163,Vulture,Washington:DC,4
My Chemical Romance,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,Vulture,Belleville:NJ,4
Desaparecidos,Omaha,Nebraska,NE,2001,2002,41.2627,-96.0529,Vulture,Omaha:NE,1
Thursday,New Brunswick,New Jersey,NJ,1997,2012,40.487,-74.445,Vulture,New Brunswick:NJ,4
Owls,Chicago,Illinois,IL,2001,2002,41.8375,-87.6866,Vulture,Chicago:IL,3
Texas Is the Reason,New York City,New York,NY,1994,1997,40.7128,-74.006,Vulture,New York City:NY,4
Jimmy Eat World,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,Vulture,Mesa:AZ,5
Orchid,Amherst,Massachusetts,MA,1997,2002,42.3757,-72.5199,Vulture,Amherst:MA,3
Saves the Day,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,Vulture,Princeton:NJ,5
Joyce Manor,Torrance,California,CA,2008,2026,33.8346,-118.3416,Vulture,Torrance:CA,2
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,Vulture,Champaign:IL,5
Fall Out Boy,Wilmette,Illinois,IL,2001,2009,42.0771,-87.7282,Vulture,Wilmette:IL,4
Death Cab for Cutie,Bellingham,Washington,WA,1997,2026,48.7548,-122.469,Vulture,Bellingham:WA,1
Mineral,Houston,Texas,TX,1994,1998,29.786,-95.3885,Vulture,Houston:TX,5
Dag Nasty,Washington,District of Columbia,DC,1985,1988,38.9047,-77.0163,Vulture,Washington:DC,2
Alkaline Trio,Chicago,Illinois,IL,1996,2026,41.8375,-87.6866,Vulture,Chicago:IL,2
Cursive,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,Vulture,Omaha:NE,4
Motion City Soundtrack,Minneapolis,Minnesota,MN,1997,2016,44.9635,-93.2678,Vulture,Minneapolis:MN,2
Don Martin Three,St. Augustine,Florida,FL,1993,1996,29.8976,-81.31,Vulture,St. Augustine:FL,1
Everyone Everywhere,Philadelphia,Pennsylvania,PA,2007,2016,40.0077,-75.1339,Vulture,Philadelphia:PA,1
Drive Like Jehu,San Diego,California,CA,1990,1995,32.8313,-117.1222,Vulture,San Diego:CA,3
Pedro the Lion,Seattle,Washington,WA,1995,2006,47.6211,-122.3244,Vulture,Seattle:WA,2
City of Caterpillar,Richmond,Virginia,VA,2000,2003,37.5295,-77.4756,Vulture,Richmond:VA,2
The Hotelier,Worcester,Massachusetts,MA,2009,2026,42.2705,-71.8079,Vulture,Worcester:MA,3
Dashboard Confessional,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,Vulture,Boca Raton:FL,5
Taking Back Sunday,Amityville,New York,NY,1999,2026,40.6696,-73.4156,Vulture,Amityville:NY,4
Piebald,Andover,Massachusetts,MA,1994,2008,42.6627,-71.1447,Vulture,Andover:MA,3
Indian Summer,Oakland,California,CA,1993,1994,37.7904,-122.2166,Vulture,Oakland:CA,3
Christie Front Drive,Denver,Colorado,CO,1993,1997,39.762,-104.8758,Vulture,Denver:CO,3
Straylight Run,Baldwin,New York,NY,2003,2010,40.6511,-73.6075,Vulture,Baldwin:NY,2
Jawbox,Washington,District of Columbia,DC,1989,1997,38.9047,-77.0163,Vulture,Washington:DC,2
The Promise Ring,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,Vulture,Milwaukee:WI,5
The Get Up Kids,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,Vulture,Kansas City:MO,5
Sunny Day Real Estate,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,Vulture,Seattle:WA,4
Hop Along,Philadelphia,Pennsylvania,PA,2005,2026,40.0077,-75.1339,Vulture,Philadelphia:PA,1
Algernon Cadwallader,Yardley,Pennsylvania,PA,2005,2012,40.2408,-74.8386,Vulture,Yardley:PA,3
Rites of Spring,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,Vulture,Washington:DC,4
Paramore,Franklin,Tennessee,TN,2004,2025,35.92,-86.8516,Vulture,Franklin:TN,3
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,Vulture,Buffalo Grove:IL,5
Jawbreaker,East Bay,California,CA,1986,1996,37.8272,-122.2913,Vulture,East Bay:CA,4
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,Vulture,Champaign-Urbana:IL,5
The Promise Ring,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,ENAO,Milwaukee:WI,5
The Get Up Kids,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,ENAO,Kansas City:MO,5
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,ENAO,Champaign:IL,5
Texas Is the Reason,New York City,New York,NY,1994,1998,40.7128,-74.006,ENAO,New York City:NY,4
Mineral,Houston,Texas,TX,1994,1998,29.786,-95.3885,ENAO,Houston:TX,5
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,ENAO,Buffalo Grove:IL,5
Christie Front Drive,Denver,Colorado,CO,1993,1997,39.762,-104.8758,ENAO,Denver:CO,3
You Blew It!,Orlando,Florida,FL,2009,2017,28.4773,-81.337,ENAO,Orlando:FL,1
Sunny Day Real Estate,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,ENAO,Seattle:WA,4
Saves the Day,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,ENAO,Princeton:NJ,5
Jawbreaker,East Bay,California,CA,1986,1996,37.8272,-122.2913,ENAO,East Bay:CA,4
Thursday,New Brunswick,New Jersey,NJ,1997,2012,40.487,-74.445,ENAO,New Brunswick:NJ,4
Hey Mercedes,Milwaukee,Wisconsin,WI,1999,2005,43.0642,-87.9675,ENAO,Milwaukee:WI,1
The World Is A Beautiful Place and I Am No Longer Afraid To Die,Willimantic,Connecticut,CT,2009,2026,41.7171,-72.2114,ENAO,Willimantic:CT,2
Tigers Jaw,Scranton,Pennsylvania,PA,2005,2026,41.4044,-75.6649,ENAO,Scranton:PA,3
Rainer Maria,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,ENAO,Madison:WI,4
Jets To Brazil,Brooklyn,New York,NY,1997,2003,40.6501,-73.9496,ENAO,Brooklyn:NY,2
Piebald,Andover,Massachusetts,MA,1994,2008,42.6627,-71.1447,ENAO,Andover:MA,3
The Hotelier,Worcester,Massachusetts,MA,2009,2026,42.2705,-71.8079,ENAO,Worcester:MA,3
The Jazz June,Kutztown,Pennsylvania,PA,1996,2003,40.5212,-75.7772,ENAO,Kutztown:PA,3
Rites of Spring,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,ENAO,Washington:DC,4
Knapsack,Davis,California,CA,1993,2000,38.5553,-121.737,ENAO,Davis:CA,4
Into It. Over It.,Chicago,Illinois,IL,2007,2026,41.8375,-87.6866,ENAO,Chicago:IL,3
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,ENAO,Champaign-Urbana:IL,5
Dads,Piscataway,New Jersey,NJ,2010,2015,40.55,-74.4758,ENAO,Piscataway:NJ,2
Joan of Arc,Chicago,Illinois,IL,1995,2020,41.8375,-87.6866,ENAO,Chicago:IL,2
The Movielife,Long Island,New York,NY,1997,2003,40.7128,-74.006,ENAO,Long Island:NY,1
Tiny Moving Parts,Benson,Minnesota,MN,2008,2026,45.3152,-95.6058,ENAO,Benson:MN,1
The Wonder Years,Landsdale,Pennsylvania,PA,2005,2026,40.2415,-75.2838,ENAO,Landsdale:PA,2
Joyce Manor,Torrance,California,CA,2008,2026,33.8346,-118.3416,ENAO,Torrance:CA,2
Marietta,Philadelphia,Pennsylvania,PA,2011,2015,40.0077,-75.1339,ENAO,Philadelphia:PA,1
Elliott,Louisville,Kentucky,KY,1995,2003,38.1663,-85.6485,ENAO,Louisville:KY,2
The Anniversary,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,ENAO,Lawrence:KS,3
Free Throw,Nashville,Tennessee,TN,2012,2026,36.1715,-86.7842,ENAO,Nashville:TN,1
The Appleseed Cast,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,ENAO,Lawrence:KS,2
Foxing,St. Louis,Missouri,MO,2011,2025,38.6359,-90.2451,ENAO,St. Louis:MO,3
Balance And Composure,Doylestown,Pennsylvania,PA,2007,2019,40.3101,-75.1299,ENAO,Doylestown:PA,1
The Casket Lottery,Kansas City,Missouri,MO,1998,2004,39.1238,-94.5541,ENAO,Kansas City:MO,1
The Gloria Record,Austin,Texas,TX,1997,2004,30.3005,-97.7522,ENAO,Austin:TX,1
Pet Symmetry,Chicago,Illinois,IL,2012,2026,41.8375,-87.6866,ENAO,Chicago:IL,1
Modern Baseball,Philadelphia,Pennsylvania,PA,2011,2017,40.0077,-75.1339,ENAO,Philadelphia:PA,3
The Juliana Theory,Greensburg,Pennsylvania,PA,1997,2006,40.3113,-79.5445,ENAO,Greensburg:PA,1
Lifetime,New Brunswick,New Jersey,NJ,1990,1997,40.487,-74.445,ENAO,New Brunswick:NJ,3
Alkaline Trio,Chicago,Illinois,IL,1996,2026,41.8375,-87.6866,ENAO,Chicago:IL,2
Touché Amoré,Los Angeles,California,CA,2007,2026,34.1141,-118.4068,ENAO,Los Angeles:CA,2
Indian Summer,Oakland,California,CA,1993,1994,37.7904,-122.2166,ENAO,Oakland:CA,3
Cursive,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,ENAO,Omaha:NE,4
Old Gray,Hooksett,New Hampshire,NH,2011,2018,43.0463,-71.4365,ENAO,Hooksett:NH,1
Taking Back Sunday,Amityville,New York,NY,1999,2026,40.6696,-73.4156,ENAO,Amityville:NY,4
Boys Life,Kansas City,Missouri,MO,1993,1997,39.1238,-94.5541,ENAO,Kansas City:MO,2
Small Brown Bike,Marshall,Michigan,MI,1996,2004,42.2618,-84.9598,ENAO,Marshall:MI,1
Orchid,Amherst,Massachusetts,MA,1997,2002,42.3757,-72.5199,ENAO,Amherst:MA,3
Seahaven,Torrance,California,CA,2009,2026,33.8346,-118.3416,ENAO,Torrance:CA,1
Owen,Chicago,Illinois,IL,2001,2026,41.8375,-87.6866,ENAO,Chicago:IL,2
Hot Rod Circuit,Auburn,Alabama,AL,1997,2007,32.6087,-85.4903,ENAO,Auburn:AL,1
Sorority Noise,Hartford,Connecticut,CT,2013,2018,41.7661,-72.6834,ENAO,Hartford:CT,2
