Data source: https://en.wikipedia.org/wiki/List_of_geographic_centers_of_the_United_States#Modern_list_of_geographic_centers,,,,,
City,State,State_id,Latitude,Longitude,Year
Clanton,Alabama,AL,32.7794,-86.8287,1819
Denali Park,Alaska,AK,64.0685,-152.2782,1959
Prescott,Arizona,AZ,34.2744,-111.6602,1912
Little Rock,Arkansas,AR,34.8938,-92.4426,1836
Madera,California,CA,37.1841,-119.4696,1850
Pikes Peak,Colorado,CO,38.9972,-105.5478,1876
East Berlin,Connecticut,CT,41.6219,-72.7273,1788
Dover,Delaware,DE,38.9896,-75.505,1787
Northwest,District of Columbia,DC,38.9101,-77.0147,1776
Brooksville,Florida,FL,28.6305,-82.4497,1845
Macon,Georgia,GA,32.6415,-83.4426,1788
Wailea-Makena,Hawaii,HI,20.2927,-156.3737,1959
Challis,Idaho,ID,44.3509,-114.613,1890
Springfield,Illinois,IL,40.0417,-89.1965,1818
Indianapolis,Indiana,IN,39.8942,-86.2816,1816
Ames,Iowa,IA,42.0751,-93.496,1846
Bushton,Kansas,KS,38.49389,-98.37722,1861
Lebanon,Kentucky,KY,37.5347,-85.3021,1792
Marksville,Louisiana,LA,31.0689,-91.9968,1812
Dover-Foxcroft,Maine,ME,45.3695,-69.2428,1820
Bowie,Maryland,MD,39.055,-76.7909,1788
Worcester,Massachusetts,MA,42.2596,-71.8083,1788
Cadillac,Michigan,MI,44.3467,-85.4102,1837
Brainerd,Minnesota,MN,46.2807,-94.3053,1858
Carthage,Mississippi,MS,32.7364,-89.6678,1817
Jefferson City,Missouri,MO,38.3566,-92.458,1821
Lewiston,Montana,MT,47.0527,-109.6333,1889
Broken Bow,Nebraska,NE,41.5378,-99.7951,1867
Austin,Nevada,NV,39.3289,-116.6312,1864
Ashland,New Hampshire,NH,43.6805,-71.5811,1788
Trenton,New Jersey,NJ,40.1907,-74.6728,1787
Willard,New Mexico,NM,34.4071,-106.1126,1912
Oneida,New York,NY,42.9538,-75.5268,1788
Sanford,North Carolina,NC,35.5557,-79.3877,1789
McClusky,North Dakota,ND,47.4501,-100.4659,1889
Columbus,Ohio,OH,40.2862,-82.7937,1803
Edmond,Oklahoma,OK,35.5889,-97.4943,1907
Prineville,Oregon,OR,43.9336,-120.5583,1859
State College,Pennsylvania,PA,40.8781,-77.7996,1787
West Warwick,Rhode Island,RI,41.6762,-71.5562,1790
Columbia,South Carolina,SC,33.9169,-80.8964,1788
Pierre,South Dakota,SD,44.4443,-100.2263,1889
Murfreesboro,Tennessee,TN,35.858,-86.3505,1796
Brady,Texas,TX,31.4757,-99.3312,1845
Manti,Utah,UT,39.3055,-111.6703,1896
Roxbury,Vermont,VT,44.0687,-72.6658,1791
Buckingham,Virginia,VA,37.5215,-78.8537,1788
Wenatchee,Washington,WA,47.3826,-120.4472,1889
Sutton,West Virginia,WV,38.6409,-80.6227,1863
Marshfield,Wisconsin,WI,44.6243,-89.9941,1848
Lander,Wyoming,WY,42.9957,-107.5512,1890
